,target,n_1_H,E_0_H,E_1_H,E_apear,E_max,E_disapear,B_d
0,0,579.2075,6.217356883281862,6.051765241519527,0,31,99,8.056809210526318
7,7,119.92375,6.167075493417803,3.942923385294279,0,18,99,7.880800561797753
4,4,261.36875,6.205041669929796,5.12289710546792,0,19,99,5.156716346153845
5,5,208.3225,6.196334214738057,4.769656034985415,0,19,99,6.381071428571429
5,5,207.05875,6.195926889692228,4.766875936874356,0,18,99,6.3783074534161495
8,8,83.43625,6.144496874801339,3.4863946130085925,0,19,99,7.603338815789474
8,8,85.75125,6.144203530631654,3.5143591411089674,0,20,99,5.8827625
8,8,83.00125,6.143130094555875,3.481571671552597,0,20,99,6.4910000000000005
9,9,45.1675,6.126105720690549,2.4762677976477296,0,23,99,11.709140625
1,1,482.73,6.216415305346877,5.862274414545085,0,29,99,7.222196502057612
2,2,399.44125,6.214522438006576,5.658328313100985,0,27,99,8.186121093750003
1,1,482.2275,6.21640859436115,5.862250873877357,0,29,99,6.901806372549019
1,1,482.725,6.216353363831099,5.86265834514393,0,29,99,6.860650684931507
4,4,264.05625,6.205291187420585,5.136615709161852,0,21,99,5.487505040322581
4,4,262.06375,6.204926752335642,5.124898514595002,0,20,99,5.989423913043479
2,2,400.1775,6.21452902678066,5.659465087640114,0,26,99,6.148791079812207
4,4,263.835,6.205051880505575,5.134016733886638,0,20,99,5.273166023166024
2,2,399.94875,6.214629343605366,5.661868091285183,0,26,99,6.401040655339807
3,3,326.145,6.211099399571134,5.421423538378894,0,23,99,6.079322580645161
8,8,82.0325,6.144391113444326,3.449779149811479,0,21,99,8.910596153846155
6,6,157.9725,6.184156228114597,4.340373823201447,0,17,99,4.191111809045225
6,6,162.18375,6.183666335929835,4.368266882458645,0,17,99,4.193409090909091
0,0,578.425,6.21754312397796,6.052027321697335,0,31,99,7.834083904109589
7,7,121.44625,6.1675310771487855,3.9563604517381226,0,17,99,6.618060747663551
2,2,397.895,6.214408750329747,5.653637454899217,0,27,99,6.668341968911918
7,7,122.25875,6.167745053689329,3.963618621498648,0,17,99,8.009016853932584
2,2,398.15875,6.214633037816945,5.655374901152209,0,26,99,5.863249446902656
6,6,163.11375,6.183641904537833,4.374841097828387,0,16,99,4.9780421686746985
3,3,325.485,6.210839300764885,5.417955907012796,0,23,99,4.62294665012407
2,2,399.325,6.21456402125044,5.658282094164806,0,26,99,6.69866002570694
4,4,262.96875,6.204965806020352,5.127155886560506,0,21,99,4.913882299270073
1,1,484.19,6.21641649681378,5.865597050008771,0,29,99,7.957054988662132
4,4,263.33875,6.204890534386047,5.1339518663453365,0,19,99,5.057214419475655
5,5,209.18875,6.196356917974824,4.777823536933512,0,17,99,4.906113744075828
1,1,482.7225,6.216465495171991,5.86066641611043,0,29,99,8.709387376237624
7,7,120.24625,6.167381565267126,3.942784641711194,0,17,99,4.731920529801325
7,7,120.96125,6.167187419637085,3.95632138710965,0,17,99,4.339070121951219
8,8,82.87875,6.144279101982177,3.4600309182063733,0,20,99,38.45825
6,6,159.32375,6.183527985732094,4.354811864481635,0,18,99,5.479003267973856
7,7,120.73875,6.167317272109499,3.943355366813471,0,19,99,3.897262569832402
9,9,42.7375,6.12564273288265,2.4117235208585943,0,20,99,5.801350806451613
3,3,326.96125,6.211125115259299,5.424454475724648,0,22,99,5.428017857142856
5,5,206.8225,6.196375699681467,4.755765545531437,0,18,99,4.961878019323672
2,2,400.59125,6.214597390240811,5.66189132543628,0,26,99,6.071539564220185
8,8,85.33375,6.144707829819825,3.5047977599773708,0,20,99,4.253822463768116
4,4,264.7,6.204911984016519,5.137831661349916,0,21,99,4.782962802768166
6,6,160.225,6.184160767773255,4.361182249431745,0,17,99,5.783517241379311
6,6,161.2075,6.18377685673133,4.363375655909659,0,17,99,5.257971698113208
4,4,263.19375,6.204866849268599,5.1270024776794365,0,20,99,4.276308593749999
4,4,262.20625,6.205044091566185,5.129222237472325,0,21,99,5.2056440839694655
8,8,82.81375,6.144282753187037,3.4625104420684294,0,20,99,5.745185643564358
6,6,162.33375,6.18408486374647,4.369280343147396,0,18,99,5.89413120567376
0,0,576.7875,6.217340293664467,6.046701210317109,0,31,99,7.339563812600968
1,1,481.19375,6.216594058561308,5.859802374038899,0,29,99,7.459686836518045
9,9,44.32,6.125324025728142,2.4777050989449583,0,21,99,5.9242857142857135
1,1,481.11625,6.216632375363657,5.85911869506154,0,29,99,7.051740537848605
0,0,577.87875,6.2174382078389385,6.050103335258216,0,31,99,7.644305788590603
7,7,121.0225,6.16740319864642,3.951745780423406,0,18,99,6.129882478632479
3,3,326.10375,6.210754849702246,5.420281188510792,0,22,99,5.169193213296398
7,7,118.7975,6.166931319580568,3.930184366066454,0,18,99,3.665459844559585
4,4,262.05125,6.204763263610706,5.126747347505796,0,20,99,6.084579596412556
2,2,400.66875,6.2147218387042,5.663010104512276,0,27,99,6.783904241645244
0,0,577.6,6.217305804381799,6.049037855824759,0,31,99,6.8351872163388805
6,6,161.30125,6.183437004367804,4.3644359566139,0,17,99,4.616655027932962
7,7,119.635,6.167062583921941,3.941053931688853,0,18,99,5.349147727272727
0,0,578.52625,6.217365625784529,6.051163177214607,0,31,99,7.283798076923077
9,9,45.82625,6.126322785339147,2.4574482681781573,0,24,99,3.087284836065574
5,5,209.6625,6.19645687782579,4.776556158360624,0,19,99,4.740051136363637
3,3,326.12375,6.211227327211645,5.42382287028242,0,24,99,4.783246221662468
8,8,82.935,6.14444326566131,3.4703747548806723,0,19,99,7.589383116883116
1,1,483.645,6.216487616083566,5.864265315787345,0,29,99,6.985828343313373
4,4,262.1475,6.205065314175287,5.127689162025463,0,20,99,6.001404867256637
8,8,81.46,6.144329016120116,3.4494735274234496,0,19,99,4.082242907801418
5,5,209.23,6.196019440426924,4.780590785500862,0,19,99,4.498176406926407
6,6,161.76875,6.184011343944946,4.364857434881629,0,17,99,4.999288922155688
3,3,324.58375,6.211012326679247,5.416483796155879,0,25,99,6.230569306930692
7,7,120.70375,6.167183615109523,3.955293379194419,0,17,99,6.13965811965812
6,6,161.82125,6.183942595453277,4.373359664857529,0,17,99,4.35700641025641
2,2,398.93,6.214633000872102,5.657548161602522,0,26,99,7.0180275537634405
5,5,207.95625,6.196302067296899,4.766731783311011,0,18,99,4.082838645418327
6,6,160.0875,6.18342397058702,4.3570881910319805,0,17,99,4.308131510416667
4,4,260.455,6.204927955201685,5.120840543982862,0,20,99,4.313456591639872
8,8,81.7725,6.143198299864824,3.448935922391199,0,18,99,5.967942708333332
9,9,45.89,6.125901523556645,2.4948807211824326,0,23,99,19.1935
8,8,85.75375,6.144384146664014,3.507411521635096,0,18,99,5.881525
7,7,119.17,6.166826934544771,3.9369423941072457,0,18,99,6.523761574074074
0,0,577.42125,6.217488542073175,6.048936290288935,0,31,99,9.181906187624753
6,6,161.9075,6.184081763069889,4.3655604061549855,0,17,99,6.9470729166666665
1,1,480.95625,6.216328183785566,5.858027349491899,0,29,99,6.4389243119266055
4,4,262.03625,6.205137481813583,5.126167711348103,0,20,99,4.081253709198813
6,6,158.8775,6.183920751801728,4.347355522605314,0,17,99,6.669196428571429
8,8,83.52875,6.144119957967023,3.470053246152295,0,17,99,8.58151119402985
0,0,577.04875,6.217202792606401,6.047087004550579,0,31,99,7.591035058430717
2,2,397.42375,6.214464684394366,5.652035593160967,0,27,99,7.000822010869566
3,3,325.45375,6.210836258912657,5.4167771761581,0,23,99,5.88745283018868
2,2,399.035,6.214539181562759,5.657284531961661,0,27,99,6.4086947174447175
2,2,397.08375,6.214618897099371,5.652082824814827,0,26,99,6.9845766129032265
1,1,482.29,6.216482080759906,5.862485569460505,0,29,99,7.116932730923695
5,5,207.1125,6.195987779487602,4.76412938457946,0,18,99,5.101498756218905
2,2,398.515,6.214489248613422,5.656731897465648,0,27,99,5.704404506437768
3,3,326.89125,6.210893415391601,5.422236338831063,0,24,99,5.645347014925373
2,2,400.02875,6.214698558626191,5.660445805204681,0,27,99,6.4345012315270935
0,0,579.68375,6.2176023474062,6.053419613922006,0,31,99,7.737805695142378
9,9,45.48125,6.124903320972969,2.494632821118791,0,21,99,3.161756198347107
5,5,208.84,6.195876395623223,4.773213014112763,0,18,99,4.780613425925925
0,0,577.99875,6.2174816996674505,6.049743465190557,0,31,99,8.08693683745583
4,4,263.15375,6.20497707187626,5.134680211863306,0,19,99,5.440891434262948
0,0,577.45125,6.217267838462974,6.048638070235085,0,31,99,7.228216560509554
1,1,481.13625,6.216492222388214,5.85865967777918,0,29,99,8.366316105769231
8,8,83.5075,6.14414246548753,3.487889734491704,0,18,99,9.693645833333331
2,2,399.37625,6.214318281575154,5.658281417271707,0,25,99,6.55610331632653
8,8,83.81,6.142853288548902,3.4776345346903508,0,20,99,5.8056875
2,2,400.21625,6.214675376159367,5.659776618558794,0,27,99,6.224502976190476
3,3,323.74875,6.210824079588114,5.412839473045574,0,23,99,5.946457006369426
7,7,120.81625,6.1675463650966345,3.947816802545294,0,18,99,6.946055825242719
1,1,482.5925,6.216487592032702,5.862265156804861,0,29,99,8.16157192575406
3,3,324.635,6.210918607160449,5.417325621977892,0,25,99,7.339635214007782
3,3,325.68125,6.211193105394496,5.421256997859359,0,23,99,6.968613636363637
3,3,326.11625,6.211029019502764,5.420878684575166,0,23,99,6.271504166666666
1,1,482.475,6.216528122158236,5.863184613705089,0,29,99,7.092106713426856
3,3,325.06875,6.210945037855586,5.41642529619239,0,24,99,5.280031690140844
6,6,162.08875,6.184270245556811,4.373031821574525,0,17,99,5.439298387096774
5,5,210.0775,6.196108560459472,4.776846576522161,0,18,99,4.578512168141593
1,1,480.40125,6.216462477986382,5.858071247469063,0,29,99,8.90920050761421
6,6,160.9025,6.183831132453252,4.356980284775323,0,16,99,3.5885309829059837
0,0,578.81875,6.217294913459659,6.051171732951727,0,30,99,7.203632750397455
5,5,209.855,6.196127075190533,4.78104198072973,0,18,99,5.681782786885246
2,2,398.525,6.214331836882828,5.65603927240617,0,26,99,5.487839473684211
0,0,579.61,6.217476026972853,6.053056408158149,0,31,99,7.817225765306123
7,7,122.7,6.167582394872706,3.972116039903997,0,17,99,5.021778169014084
9,9,43.97375,6.125218607117959,2.459024745880372,0,22,99,7.959347826086956
9,9,46.8025,6.125139526198288,2.515969212000637,0,18,99,55.731785714285714
3,3,324.87375,6.211001924052932,5.415778968882332,0,23,99,6.533464912280701
6,6,161.36375,6.183740425084976,4.362215840465511,0,17,99,4.280923076923078
1,1,483.68375,6.216599469382166,5.864425416592849,0,29,99,7.40528125
9,9,45.49625,6.124642214619206,2.4764662074048114,0,20,99,63.610208333333325
7,7,120.16875,6.166967415939732,3.9464504280403423,0,18,99,8.594771341463414
3,3,325.935,6.211073450537353,5.420174567353825,0,23,99,6.709250886524822
9,9,44.87375,6.124377369018496,2.479136639501636,0,21,99,4.142596153846154
0,0,574.73875,6.217311051203655,6.043526220732774,0,31,99,8.0374376114082
5,5,208.9075,6.19627199192113,4.773131653964416,0,19,99,5.836046348314606
0,0,577.82875,6.217273852307176,6.049513998603065,0,31,99,7.5636875
7,7,121.7825,6.167398828311723,3.9679616869591103,0,19,99,8.084087078651688
8,8,84.16,6.143470418009968,3.4988884831733054,0,20,99,11.767025
1,1,483.14125,6.216531767758911,5.864000714887868,0,29,99,7.212449083503055
7,7,120.96125,6.167279730299502,3.946257538124996,0,18,99,9.592719594594596
9,9,46.425,6.123723259672008,2.530978719524466,0,20,99,3.321485042735043
9,9,42.47375,6.124360595994078,2.4124179223741606,0,18,99,5.81030737704918
1,1,482.99125,6.216385867035297,5.862753202796198,0,28,99,7.219715676229509
3,3,325.535,6.210845934857617,5.420252671009323,0,23,99,5.469448099415206
2,2,398.935,6.21469281725973,5.658409514817351,0,26,99,6.581829800498753
3,3,326.855,6.211008610238286,5.423902812638578,0,23,99,6.404449658703071
5,5,207.53125,6.195867619295386,4.768768177961894,0,17,99,4.851035714285715
5,5,210.18125,6.196250215619708,4.781816282361726,0,16,99,4.9002488151658765
5,5,208.095,6.196375787836143,4.771643121441139,0,19,99,4.094900398406375
5,5,207.58,6.1956378988328105,4.76576210795399,0,18,99,4.7435656682027645
8,8,84.11125,6.144766434722439,3.483825498057409,0,19,99,11.62155
4,4,263.89875,6.205115558970622,5.140202608808977,0,20,99,5.333427884615385
2,2,397.75125,6.214413629843192,5.653992842890866,0,26,99,6.419610507246377
8,8,83.92625,6.143935887641944,3.464097965229965,0,19,99,7.235453124999999
0,0,578.4675,6.217479691218743,6.050084250217374,0,31,99,7.968506151142353
1,1,482.995,6.216485629026661,5.863321513353885,0,29,99,8.732276674937966
1,1,481.51625,6.216449160384791,5.859249874330192,0,30,99,7.40583857442348
3,3,326.85,6.210992498179057,5.422160063151577,0,23,99,6.5040068493150685
0,0,579.55125,6.217419773058532,6.053670701836586,0,31,99,7.681268875838926
7,7,118.1875,6.166099603534847,3.9254558459947417,0,17,99,5.043650362318839
6,6,160.24875,6.183924948928964,4.363329074118832,0,17,99,4.005351190476191
9,9,44.17,6.1250572711068605,2.451230328060092,0,22,99,20.549861111111102
5,5,208.93625,6.195843218174966,4.770807179575002,0,18,99,5.645041436464088
0,0,576.21875,6.217396809672157,6.046738043001697,0,31,99,7.526076732673267
8,8,83.705,6.144166397286582,3.498698571609542,0,20,99,5.143260869565218
7,7,121.3925,6.1679075151976726,3.954877492918353,0,19,99,7.3436597938144335
0,0,577.90375,6.217388633677183,6.050687812520149,0,31,99,7.776718483816014
4,4,261.57,6.204927733265663,5.126584539065768,0,20,99,6.504368990384615
6,6,159.245,6.183733658904108,4.343399270820723,0,16,99,6.880185950413223
6,6,162.495,6.184206365371037,4.37396526620461,0,18,99,4.414151315789475
9,9,46.24875,6.124970455620465,2.513154108592283,0,19,99,5.287430555555556
4,4,264.3175,6.204862122126813,5.140128455586019,0,20,99,4.806637323943662
4,4,263.03125,6.204901859504471,5.127760910996576,0,20,99,5.092695167286245
5,5,210.26125,6.196436618720102,4.785646012024298,0,19,99,4.58333517699115
8,8,85.82625,6.143305065180969,3.5108897747073256,0,20,99,4.634744094488188
9,9,43.59125,6.125181512952656,2.4473462709864005,0,20,99,61.689791666666665
7,7,118.72375,6.1665084214832016,3.928990339895789,0,18,99,5.554911417322836
9,9,42.68375,6.125367049439348,2.413584064881835,0,20,99,4.516687500000001
5,5,209.19,6.195848469783896,4.7768181795529525,0,17,99,5.052531094527363
9,9,44.81125,6.123978681844772,2.5052368935136027,0,19,99,15.616718749999997
4,4,262.16125,6.2049527647151645,5.127066542486248,0,21,99,5.30766176470588
9,9,45.44875,6.126703502885943,2.453863174910877,0,19,99,4.234588068181818
3,3,324.98125,6.211038906211453,5.416950787886282,0,22,99,5.441783625730994
9,9,46.3375,6.125217496660382,2.503710576920799,0,18,99,64.34708333333333
